subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
is drinking alcohol at 15 bad?,,,,,,,
why does it seem alcohol helps?,"so i ask why does it seem that when ive been drinking, everything is so much better and when im sober im nothing but a boring fuckwit? ",,,,,,
do you really have to sign for alcohol if you order it..how will they know whats in the package?,,,,,,,
does alcohol affect general physiotherapy results?,"i am only getting tests for t/b and no specific tests for drugs, but am i in trouble?",,,,,,
why the alcohol absorbs the infrared light?,,,,,,,
can i lower caloric intake by drinking alcohol from a spray bottle?,"is this really ""diet alcohol"" since it is going in my lungs and not my stomach? ",,,,,,
what are some of factors that can give false positive result from an enforced blood alcohol content test?,,,,,,,
would you consider eating in a restaurant that serves pork and alcohol haram?,,,,,,,
my boyfriend has had 4 and a half energy drinks mixed with alcohol and now doesnt feel right please help!?,,,,,,,
i need a peppercorn sauce recipe without alcohol for tuna steak. please help!?,,,,,,,
how to overcome alcoholism without counselling or aa?,,,,,,,
when will a d.v. abuser with drug & alcohol problems finally leave you alone restraining order already!?,,,,,,,
is nancy pelosi an alcoholic?,,,,,,,
can alcohol open doors of perception as well and as well?,,,,,,,
is it right for my husband to ask my 18 yrs old niece to drink alcohol?,do you think its right for my husband to ask my niece to have alcohol?,,,,,,
please confirm what is alcohol...?,,,,,,,
should i try a dab of alcohol on my babies gums?,,,,,,,
how should i confront this guy about an issue (alcohol) or is it even worth trying?,,,,,,,
what is the percent yield of the reaction if 4.9g of ethylene gives 4.6g of ethyl alcohol?,,,,,,,
would you rather find your child drunk and passed out in a pool of alcoholic puke or stoned and dancing alone?,,,,,,,
what is alcoholic cirrhosis?,,,,,,,
what are some alcohol stereotypes for people of different backgrounds?,,,,,,,
how should i approach the guy i am seeing about an issue with alcohol?,,,,,,,
where can i buy a large container (gallon of larger) of 91% isopropyl alcohol?,,,,,,,
a potentially fatal reaction to an alcoholic overdose is?,,,,,,,
acetaminophen and alcohol accident!!! what do i do?,"im worried about him, how much damage will that do and how can he recover from it? ",,,,,,
can combining alcohol make 100% abv?,"if you were to, say, mix a rectified spirit (~95% abv) with a beer (~5% abv), would you have pure 100% alcohol? ",,,,,,
should you listen to personal insults points of view when some is affected by alcohol?,am not talking about being so drunk they cant speak!,,,,,,
what types of alcohol are served at high school parties?,,,,,,,
can i have alcohol on a carb refeed day?,,,,,,,
what percentage of war veterans with schizoaffective disorder have alcohol or drug problems?,,,,,,,
"atheists, if it were up to you, how would you regulate alcohol?",,,,,,,
"atheists, if it were up to you, would you ban alcohol sales on a sunday (out of respect for the christians)?",,,,,,,
is it worth giving up alcohol?,,,,,,,
how can i preserve a dead catterpilar without using alcohol...?,,,,,,,
what are the alternatives to alcohol for storing soft bodied insect.?,,,,,,,
does alcohol absorb faster in wowen or men?,,,,,,,
can i use oak chips in 94% alcohol?,"i know i can add oak chips to 40% spirits and wines, but i would like to know is it ok if i add them to 94% spirit (before i make it 40%) for few weeks.",,,,,,
what do i do with my fear of alcohol when my roommates both drink?,,,,,,,
why is it that the same people who condemn smoking & alcohol use now are for marijuana legalization.?,,,,,,,
will rubbing alcohol kill my zebra snail?,,,,,,,
should a person drink alcohol if they are thinking about suicide?,should i tell him he should not drink alcohol? ,,,,,,
does alcohol make your face puffy what are the physical signs of alcoholism and drinking alcohol?,,,,,,,
are you glad that about the government u-turn on minimum pricing for alcohol?,,,,,,,
small dosage of antidepressants with alcohol?,,,,,,,
can i use alcohol to clean my stretched ears and then put lotion on them so they dont dry out?,,,,,,,
how long before i can drink alcohol while having gastritis?,"i was wondering after starting the medication how long will it be before i can start drinking normally again, or if i can ever drink normally again? ",,,,,,
is it bad if i drink alcohol at 9 am than after 9 hours i go to the gym before going i take prework out stuff?,,,,,,,
a government is considering levying an alcohol tax to raise revenue to finance health care benefits. people?,,,,,,,
non drinking christians; what do you say to christians who try to justify alcohol?,additional details deea- when do you go from the point of drinking to being drunk?,does the bible not say that wine is a mocker and a deceiver?,do you realize that grape juice is referred to as wine in the bible?,,,,
why does alcohol cause me to having tingling in my groin?,,,,,,,
can i have alcoholism or other addiction even if i choose not to drink?,so could i have alcoholism and thus should avoid alcohol just as a former alcoholic would?,,,,,,
why is alcohol banned for all people under 21 in the usa rather then being legal at 18?,why is it that alcohol is banned for people between 18 and 21 also?,is it because teens arent mature enough to handle it from aged 18-21?,is it a physical health thing? ,,,,
i want alcohol but i cant get to a store?,,,,,,,
has drinking too much alcohol ever made you regret things you did?,how did you get past this? ,,,,,,
"do the sign posted ""alcohol only for 21 and up"" give everybody immunity from police bust the party?",,,,,,,
"i dont want to go to another psychiatrist, but i dont want to become an alcoholic. what do i do?",,,,,,,
"ever wonder how many people who say that grass should be legal, not alcohol, also drink?",,,,,,,
"where, in orlando florida, can i find everclear alcohol?",,,,,,,
how to remove rubbing alcohol from inside my phone?,how do i dry it out or do i leave it and let it dry itself out? ,,,,,,
will alcohol show in urine after 6 days?,,,,,,,
does alcohol permanently damage the brain?,,,,,,,
whats the deference between legal highs and alcohol ?,,,,,,,
is hard alcohol worse?,,,,,,,
blood test and alcohol?,would the alcohol show up or thats only if you test for it?,,,,,,
alcohol and insulin test?,would the alcohol show up or thats only if you test for it?,,,,,,
wedding toast that is non alcoholic please?,we dont drink is there an alternative to wine or champagne?,,,,,,
can i drink alcohol 32 hours after having one wisdom tooth removed?,is it okay to drink alcohol (bourbon & cole rtd in a can)?,,,,,,
am i on the road to recovery i use to abuse alcohol?,,,,,,,
why does drinking alcohol make me sick?,is it because im not used to having alcohol in my system? ,,,,,,
is it illegal for me to give my friends alcohol who are under 18 in victoria?,"i have just turned 18 and i want have a few drinks with my friends, is it illegal for me to provide them with alcohol?",is it still illegal if we drink at a private residence?,,,,,
"muslims, what is your view on alcohol?",,,,,,,
is it normal to get more and more sensitive to caffine/alcohol the older you get?,,,,,,,
mixing ritalin with alcohol when i dont have adhd. side effects?,,,,,,,
just took oxycodone and drank alcohol?,,,,,,,
is it ok to mix advil and alcohol?,,,,,,,
is eating chocolates with liquor in them if you are under 21 in michigan they have 0.8% alcohol?,is it illegal to eat liquor chocolates as a minor?,is it illegal to eat those chocolates underage?,,,,,
celebrity big brother uk and alcohol?,did anyone else notice and do you think theyll keep this up for the summer version?,,,,,,
"atheists, what do you think should be legal age to purchase alcohol?",,,,,,,
"if you add a drop of 2% alchohol to a drop of 4% alcohol, then what would be the total concentraiton?",,,,,,,
can quitting alcohol cold turkey be very dangerous?,will i feel withdrawal in coming weeks or days?,,,,,,
is an alcohol free wedding reception tacky?,,,,,,,
what is the part of alcohol that is so addictive to alcoholics?,,,,,,,
is forcing someone to drink alcohol a crime?,"is this forcing someone to drink if they dont want to, or he was just being encouraging? ",,,,,,
"why some people get addicted so easily to drugs, alcohol, tabaco?",,,,,,,
"do you notice that alcohol cools you down, or heats you up?",,,,,,,
underage alcohol charge and license suspension?,i was wondering if there was a law in pennsylvania that dropped charges and suspensions made to a minor after a certain amount of time. ,,,,,,
alcohol and the pull out method?,"and we had sex 3 times all times he did pull out, but now i have been having food aversions and alot of discharge and im just wondering if its possible that he didnt pull out on time0",,,,,,
i pierced my left ear. i dont know how long i need to alcohol it or anything really?,,,,,,,
asda company policy regard pictures of alcohol?,is it really company policy that youre not allowed to take pictures of alcohol bottles to show to your friends?,"who is it hurting, its nice like its top secret .",,,,,
"got put second to alcohol, what should i do?","the thing is i dont know what my next move should be, should i text him first tomorrow?",should i wait for him to text me?,what should i say if he texts me like nothing happened?,should i just bring it up or wait for him to text me with an apology?,,,
whats the trick to drinking alcohol?,,,,,,,
what exactly causes coffee and alcohol to be diuretics what biological processes are heppening in the kedneys?,,,,,,,
what kind of questions would be on the drug and alcohol test?,would it be easy?,where can i get both the drug and alcohol test and the permit test?,what kind of answers are they looking for on the drug and alcohol test? ,,,,
which is worse: alcohol or fast food?,,,,,,,
some counties in arkansas are dry is it illegal to have alcohol?,,,,,,,
how much alcohol in a shot?,,,,,,,
boyfriend is puking from alcohol/a cold?,,,,,,,
how to break borane chelate with amino alcohol?,please suggest me how can i break the borane chelate with amino alcohol?,,,,,,
which of the following alcohols undergoes dehydration upon heating with concentrated h2so4 without carbocation?,,,,,,,
"which of the following alcohols is the least susceptible to oxidation by traditional, chromium-based oxidizing?",,,,,,,
which alcohol reacts most rapidly with the lucas reagent...?,,,,,,,
"do you know this song ""alcohol ,alcohol, tomorrow morning ill be climbing, the wall...?",,,,,,,
alcohol has never made me puke?,"dont get me wrong, ive drank plenty.",does anyone know why or what it could be?,,,,,
which alcohol should i use to get rid of hair wax?,hi i saw many ppl say that alcohol can get rid of hair wax and i wonder which alcohol should i use.,,,,,,
alcohol or weed: which is safer?,,,,,,,
"alcohol, ketone and aldehyde reactions, biochemistry / organic chemistry?",,,,,,,
easiest ways to carry alcohol without bottles or backpacks?,were gonna get there and go somewhere else and drink.,how can i bring it without carrying a backpack or waterbottles or anything?,,,,,
illegal to refuse sale of alcohol?,,,,,,,
is it possible through evolution to be immune of the effects of alcohol?,,,,,,,
is it okay to take alcohol on accutane?,is it safe for me to go get wasted tonight?,,,,,,
do you think its a good idea to experiment with alcohol before you go to college?,,,,,,,
how can i have a good house party without alcohol?,,,,,,,
my under eye swell every morning if i drink alcohol before i go to bed?,,,,,,,
will alcohol go bad if stored in a gatorade/powerade bottle?,,,,,,,
racing heart after drinking alcohol?,is this something i should be worried about and rush to the hospital because im very anxious about it,,,,,,
diabetic help with alcohol?,"what do i do when i want to consume alcohol, as in naggins of vodka?",,,,,,
"gun control folks: why would gun prohibition work when alcohol, abortion, and marijuana prohibition failed?","why would gun prohibition work when alcohol, abortion, and marijuana prohibition failed?","also what do you think is ""reasonable"" gun control?",,,,,
is alcohol free hair gel ok for you?,is it ok ppl keep telling me gel is bad for your hair.,,,,,,
alcohol pushers how to deal?,what are some ways we can combat or shield ourselves from the pressure.,,,,,,
alcohol peer pressure. how to deal?,,,,,,,
any tea/drinks that make you feel better than alcohol does?,"all i said was i wanted to relax, feel better, whats wrong with that?",,,,,,
how is it that pot is illegal but nicotine and alcohol arent?,why is marijuana seen as such a horrible thing?,,,,,,
why is too much religion like drinking too much alcohol?,,,,,,,
is grocery store pub cheese made with alcohol?,,,,,,,
will rubbing alcohol treat infection?,"if i were to apply chamomile tea bags, and clean it once a day with rubbing alcohol will it get rid of the infection?",,,,,,
how long can alcohol stay in your urine?,"im not 21 but i had a few sip of mikes harder lemonade, and im getting drugged tested tomorrow and i dont want it to show, so would it clear before then? ",,,,,,
do you like drink alcohol?,,,,,,,
alcohol consumption for diabetics?,what do diabetics do when consuming vodka?,should they take mixers with sugar?,,,,,
can alcohol cause continuous hiccups?,can alcohol cause continuous hiccups? ,,,,,,
is it ok to wash my mouth with alcohol?,,,,,,,
how many days or hours of no alcohol consumption along with taking milk thistle as a liver cleansing / dexotfi?,,,,,,,
fake alcohol drinking. how to pretend?,,,,,,,
growing up with an alcoholic father?,,,,,,,
organic chemistry (alcohols) problem?,"what is alcohols molecular formula if there is 52,18% carbon, 13,04% hydrogen and 34,78% oxygen in it?",,,,,,
how to find percent blood alcohol?,,,,,,,
sneaking alcohol on a cruise?,has anyone successfully done it if so how. ,,,,,,
how much money does the canadian government make from taxing alcohol&tobacco annually?,,,,,,,
why are alcoholics often nicer when drunk then sober and why are others meaner when drunk then sober?,,,,,,,
after drinking alcohol my blood pressure is always lower; a perfect reading. should i ignore this reading?,,,,,,,
making alcohol out of lemonade?,,,,,,,
why should marijuana be illegal but alcohol legal?,,,,,,,
is god an alcoholic or drug addict?,,,,,,,
why do most child stars become drug addicts and alcoholics?,,,,,,,
alcohol consumption and ocd/schitzophrenia?,"i drink around 20-30 units a night (uk) does anyone know if i am right thinking this is ocd, i had thoughts that i were to be schizophrenic, but i do not literally hear a voice telling me things. ",,,,,,
is it illegal to drink alcohol in public (in england)?,if your walking down a public road or in a public place is it illegal to be consuming any alcohol? ,,,,,,
what alcohol do you recommend?,"ilive in the uk, what alcohol do you reccoment for a little gathering that will get me drunk?",,,,,,
alcohol poisoning 40% alochol?,if i drink another 2 shots could i get alcohol poisoning and maybe i was just lucky i did not get alcohol poisoning last time?,,,,,,
shipping alcohol internationally?,,,,,,,
best gatorade/powerade and alcohol mix?,what alcohol and common beverage do you guys/girls prefer to drink when trying to drink incognito?,,,,,,
do a drink-alcohol or a word-church make you feel better?,,,,,,,
illegally possessing alcohol!?,this is the situation and she was wondering what to do. ,,,,,,
legal age to purchase non alcoholic beer in wisconsin?,"hey everybody, im 18 and i read on wisconsins dot webpage that it is legal for 18 year olds to drink n/a beer, but do you know if its legal for 18 year olds to purchase?",,,,,,
does worcestershire sauce has alcohol and how much do they cost and where to buy them?,,,,,,,
can you still drink alcohol if your stomach is really full?,so i ate and im really full so can i stil drink alcohol without puking cuz im gnna go out to meet some people and i dont want to be puking with all those ppl im a girl 52 if tht help,,,,,,
why cant people stop drinking alcohol?,,,,,,,
what is the best kind of alcohol to buy if i have lemonade and red lemonade?,,,,,,,
would i go to jail if i didnt complete the alcohol counseling for my dui?,"im not sure if im going to complete it, will i end up in jail?",,,,,,
i was a very severe alcoholic from 20-24?,i had to have had thousands of drinks between these years what kind of health problems can i anticipate later on in life?,,,,,,
"using a ""box-o-wine"" plastic bladder to sneak alcohol on a cruise.?",,,,,,,
smuggling alcohol onto a cruise?,,,,,,,
my cousin claims im an alcoholic?,,,,,,,
"poll: alcohol, water or milk choose one?",,,,,,,
how long before weed is 100% legal (like alcohol) in america?,,,,,,,
was president lincoln preserved in alcohol?,,,,,,,
is it okay to clean glass with isopropyl alcohol?,,,,,,,
can you freeze cookie dough with alcohol in it?,will the cookie dough freeze like normal cookies?,and will it change in texture or taste?,,,,,
how much alcohol should i inject to get the equiv. effect of 5 glases of wine?,,,,,,,
what good mixed strong alcohol drinks are there?,what good drinks are there that you can make that are not very complicated nor expensive?,,,,,,
do perfumes used by muslims contain alcohol ?,or are they all alcohol-free john,,,,,,
paxil withdrawal and alcohol intolerance help!?,can someone please give me insight on what is going on?,,,,,,
"what does pork, bacon, ham, alcohol and haribos taste like?","is pork better tasting than chicken, lamb, cow, turkey, etc?",does alcohol taste better than red bull or pepsi?,,,,,
is it bad to drink moderate amounts of alcohol when young?,"i know this isnt the healthiest habit, but i do it very rarely and only for special occasions, is this okay? ",,,,,,
is it legal to give your doctor alcohol as a christmas present?,,,,,,,
could i take alcohol to leeds festival?,"me and my friends are going but we wont be over 18, do you get it taken off you on the way in? ",,,,,,
would putting alcohol in body midst make it stronger?,will putting rubbing alcohol in it makes it stronger/last longer. ,,,,,,
will alcohol kill a yeast infection?,,,,,,,
could i have alcohol poisoning?,,,,,,,
"allergy to rubbing alcohol, am i allergic to alcohol then?","does this mean i am allergic to alcohol as well, like drinking alcohol?",,,,,,
can a mix of alcohol and clonidine kill you?,could it kill me?,would i fall asleep and like never wake up? ,,,,,
how many americans rail against marijuana legalization while theyre impaired by alcohol?,,,,,,,
is marijuana or alcohol more addictive to people with addiction problems?,,,,,,,
was it the alcohol (non stop throwing up)?,,,,,,,
why is there not plain packaging and warnings on alcohol and fast foods ?,,,,,,,
how does alcoholism effect a persons personality?,,,,,,,
with alcoholism being a recognized disease am i right that the alcoholic does not choose alcoholism?,,,,,,,
wool putting alcohol in body must make it stronger?,,,,,,,
why is it illegal to drink alcohol in the us under 21?,why would it not be 18 like the age for pretty much everything else?,,,,,,
how to ferment fruit with out alcohol?,how can i ferment fruit without the fruit changing to alcohol?,and how long does it take to ferment? ,,,,,
a condensation reaction between an acid and an alcohol generates what type of bond?,,,,,,,
what is an example reaction of an alcohol acting as a base?,,,,,,,
what is the best alcohol to mix with gatorade?,what is a good alcohol to mix with gatorade so i can get drunk before and during the game? ,,,,,,
alcoholics/former alcoholics: am i drinking too much?,am i drinking too much?,"i know that is not normal for the average person (which is 1-2), but am i drinking enough to destroy my body?",,,,,
whats the alcohol percentage in tgi fridays mudslide bacardi mix?,,,,,,,
is alcohol really the most physically destructive psychoactive drug?,,,,,,,
my blood pressure reduces to normal from high after a glass of alcohol so does this mean alcohol is healthy?,,,,,,,
can you get someone to buy cooking alcohol for you if you cant prove youre of legal drinking age?,,,,,,,
wouldn`t it be sad if it could be proven that alcohol plays an important part in u.s. foreign policy decisions?,,,,,,,
how would you feel if saudi females where caught drinking alcohol in a muslim country?,,,,,,,
which airline does not serve alcohol?,,,,,,,
calculate the volume of alcohol that must be added to one liter of cola to get a drink containing 10% alcohol.?,,,,,,,
why do we need hydrogen to oxidise an alcohol?,is it because its acidified potassium dichromate?,like why wont a tertiary alcohol oxidise with potassium dichromate?,,,,,
drug and alcohol evaluation?,"what happens if the outcome of your drug and alcohol evaluation shows that you need counseling, etc.",,,,,,
"are things like drawing, music, alcohol and pork un-chrislamic?",,,,,,,
is is dangerous to smoke alcohol?,,,,,,,
how to remove isopropyl alcohol stain from plastic of my watch?,is there any solution of removing this white foggy thing from the plastic and possibly scratch less?,,,,,,
alcohol on an airplane?,"does the german airport have an issue with that, ive never flown before. ",,,,,,
i drink a six pack of 16 ouncers 5.8% alcohol every day for the past 6 months. im scared and my liver hurts?,"can a good liver cleansing help me now or is it too late , please help me todd",,,,,,
how much grape juice does it take to fail a drug test for alcohol?,,,,,,,
alcohol at 15 with friend?,"were 15 and he has been having alcohol since he was 14, not every day though maybe not even once a week but he can have one when he wants.",,,,,,
alcohol cakes for boyfriend bday?,does anyone know where i would be able to purchase one at .,,,,,,
why do we drink more alcohol at christmas then other times of the year?,,,,,,,
can i be arrested for underage possession of alcohol on private property in ohio?,can i actually be charged for possession because it was in my house?,,,,,,
is alcohol related violence worse now compared to past decades or is it just covered more by the media..?,,,,,,,
alcohol and anti depressants?,,,,,,,
my mom found a bottle of alcohol in my room and she wants to know where i got it. what should i say?,,,,,,,
what is the best way to sneak alcohol into a place where they dont have any?,,,,,,,
whats the best wine for the first time drinking alcohol?,my question is what is the best choice of wine is for when you drink for the first time in your entire life.,,,,,,
"oxidation of alcohols and aldehydes please help, urgent!?",,,,,,,
"can i use alcohol to,clean it out?",,,,,,,
official name for someone who collects urine samples for drug test and alcohol?,,,,,,,
is whiskey what kind of alcohol...?,,,,,,,
do you drink alcohol during the week?,or do you save it for the weekend?,,,,,,
why do people with addictions use drugs/alcohol more at christmas time then other times of the year?,,,,,,,
why do alcoholics deny they have a problem often?,do they truly not know they are an alcoholic even if everyone is telling them they are? ,,,,,,
do you like drinking alcohol or not?,,,,,,,
why is drinking lots of alcohol bad for health?,,,,,,,
my mum is an alcoholic! am i deppresed because of it?,am i deppresed because of it?,,,,,,
help.. my fiance is an alcoholic?,but please someone tell me some way for him to help himself back off of alcohol,,,,,,
could alcohol cause a uti?,,,,,,,
question about pain medicine and alcohol?,"if i skip it for a day, can i drink alcohol that day where i didnt take any tramadol?",,,,,,
do i need a stainless steel pot or skillet to cook alcohol on the stovetop?,but will i need to buy stainless pots and pans for cooking with alcoholic beverages like bourbon or wine?,,,,,,
can i bring alcohol in checked luggage if underage?,im 20 and i was wondering realistically speaking what are my chances of being caught for just one lousy bottle of alcohol? ,,,,,,
alcohol-drinking question?,are their any good drinks i can try out that have a decent taste and wont be too strong?,,,,,,
alcohol tolerances: disscussion with friends?,how would you consider my tolerance? ,,,,,,
what test shows alcohol in your system?,,,,,,,
do you abuse alcohol or do you treat it with the respect it deserves?,,,,,,,
how do i get drunk without consuming alcohol?,,,,,,,
how to know if its vodka or rubbing alcohol?,,,,,,,
am i an alcoholic?,,,,,,,
"which is best to use in wax sculpting: a candle, alcohol lamp or alcohol torch why?",,,,,,,
how often do you engage in the consumption of alcohol?,,,,,,,
can alcohol help you get through some insomnia?,,,,,,,
at what age did you start drinking alcohol?,,,,,,,
"my lft report: bilirubin-.9, sgpt-65,sgot-48,, can i take alcohol once a weak?",,,,,,,
"why dont black women talk about being addicted to crack, pills, alcohol, gambling?",arent there other things to talk about like women going to treatment centers for drug addiction and changing their life for the better do people still do drugs i never hear about this anymore?,where are the black women who have other problems to deal with other than black men? ,,,,,
legal marijuana or alcohol: what is more dangerous?,,,,,,,
can alcohol be consumed while taking a pancef antibiotic?,,,,,,,
which alcoholic drink taste sweet ?,,,,,,,
do you think alcohol drinking and beer will be allowed in qatar fifa finals?,,,,,,,
is it true that if you do cocaine while drinking alcohol it will stay in your system even longer?,,,,,,,
what is the cheapest way to get drunk/dizzy in sweden which drink/alcohol is the cheapest per liter?,,,,,,,
whats the uses of alcohol as a fuel and how does it help to reduce global warming?,,,,,,,
is alcohol or marijuana more dangerous?,,,,,,,
is it more common for one to be addicted to alcohol or drugs?,,,,,,,
how do people successfully get through to an alcoholic to guide them to getting help?,,,,,,,
how much alcohol does a person drink per day for them to be an alcoholic?,,,,,,,
what is the most commonly abused form of alcohol?,,,,,,,
alcohol more addicting than cigarettes?,,,,,,,
alcohol drinking and mixing.?,is it ok to drink some henikan (beer) now or is drinking it 2 hours later?,or is 2 hours still to little to drink beer after liquor?,,,,,
if you drink alcohol why triglycerides increases?,,,,,,,
"how should i write an essay on ""why i will say no to alcohol and drugs""?",,,,,,,
why am i a alcoholic?,,,,,,,
does bill cosby drink alcohol?,,,,,,,
is drinking (alcohol) while eating really bad?,does anybody know what are the effects of this?,,,,,,
why dont liberals push for alcohol control like they do for gun control?,,,,,,,
can alcohol damage your brain permanently?,if taken in extremely small amounts (less than 100ml) can it damage the health of a person 14-16?,,,,,,
can i drink alcohol after getting my wisdom teeth removed?,,,,,,,
what proof of alcohol do japanese restaurants like wasabi light on fire?,,,,,,,
can a minor serve alcohol in their parents restaurant?,could i serve alcohol to tables if my mother watched me carry it there? ,,,,,,
if i am under the influence of alcohol and need to evacuate for a fire can i be charged?,,,,,,,
how much alcohol for a party?,"but te thing is i dont know how much to bring, i know ill probably bring wine and bourbon and maybe a few beers if i have any, but how much?",,,,,,
is it possible to get tipsy from alcohol in food when taking tegretol?,,,,,,,
if im taking topiramax can i drink alcohol?,my psychiatrist prescribed me topiramax for bipolar and my birthday is coming up so i wanted to know is it ok if i drink?,its my 21st ive drank before im not a light weight but im just nervous with the new meds am i going to get sick or drunk more quickly or what?,,,,,
going to drink alcohol for the first time. $40. what would you recommend i drink?,what would you recommend i start out with? ,,,,,,
"if alcohol is the cheapest form of calories, why are people appalled when the homeless/poor abuse substances?",,,,,,,
best cheapest alcohol for getting you drunk?,,,,,,,
if ibrush my teeth within an hour of eating or drinking coffee or alcohol will it rub that substance in?,,,,,,,
when is water produced when oxidising alcohols?,,,,,,,
question about pain medicine and alcohol?,"if i skip today (thursday), would i be okay to go out with some friends tomorrow (friday) night or saturday night for a few drinks?",,,,,,
"which do you think is smarter, having concealed guns mixed with alcohol in bars, or in starbucks where....?",,,,,,,
6900mg seroquel x alcohol x mercyndol + anti spewing pills : problem solved?,,,,,,,
support alcohol or weed  and why ?,ok i just want to know how many of you support alcohol and how many weed ? ,,,,,,
metronidazole kidney disease alcohol effects?,"so if you have minor kidney disease, will it take longer to filter out the antibiotic?",and so would you have to prolong how long it was before you drank alcohol?,,,,,
why is marijuana use so frowned upon yet alcohol use is just fine?,,,,,,,
how do lactic acid fermintation and alcoholic fermentation differ?,,,,,,,
help me with my drug and alcohol test.?,,,,,,,
help me with my drug and alcohol test.?,,,,,,,
help me with my drug and alcohol test.?,,,,,,,
why do people drink alcohol if it tastes bad?,,,,,,,
can you test for alcohol the next day (approx 24hrs)?,im wondering if when he gets home the next sunday and we take him to the hospital can they do any test to see if there is anything in his system?,,,,,,
what role does alcohol play in a fraternity or sorority ?,,,,,,,
i really want to kill myself. i want to use pills with some alcohol. any suggestions?,"i know that everyone always says how selfish it is to kill yourself, but is it more selfish than forcing someone to live in misery?",,,,,,
what can you say about people who drink alcohol and do drugs ?,,,,,,,
when someone is an alcoholic do they usually have another underlining mental illness as well?,,,,,,,
why is alcoholism considered a family disease?,,,,,,,
"why are drugs referred as high, and alcohol is referred as ""drunk?",,,,,,,
shots vs coke and alcohol?,"i wana get drunk tonight im 54 115, ive done 3 shots to get tippsy in the past but how much would it take if i mixed it with coke how many cups?",,,,,,
what does 40% alcohol by volume mean?,,,,,,,
good juices/sodas to mix with high proof alcohol (bacardi 151)?,,,,,,,
is drinking alcohol considered a sin?,,,,,,,
how do you know if you are alcoholic or not ?,,,,,,,
is drinking alcohol as bad as smoking and if so why is it not treated in the same way as smoking?,should we stop drinking alcohol if we want to stay healthy.,,,,,,
"how long will alcohol be in my ""blood"" if i drink 1 beer?",i am a male 6feet an 160 pounds how long do you think alcohol will be in my blood (if i drink it at 8.,,,,,,
im going to london to live with my aunt until september. she drinks alcohol?,,,,,,,
"instead of rubbing alcohol, does normal cleaning spray (such as ajax spray and wipe) work to clean your bearin?",,,,,,,
"is taking zofran and alcohol together, dangerous?",,,,,,,
"are you drinking coffee, tea, or alcohol right now?",,,,,,,
"why do people drink coffee, alcohol, or smoke?",should i try these things because i feel left out?,,,,,,
whos drinking excessive amounts of alcohol right now?,,,,,,,
my mother found my alcohol?,,,,,,,
alcoholmeters for gasoline?,can you use an alcoholmeter (used to proof alcohol) be used to measure alcohol concentration in gasoline and other fuel? ,,,,,,
what kind of alcohol should i buy if i cant keep it in the fridge but sometimes want a quick drink?,"p i just meant that since thats what i have to do, what colder drinks from a family fridge could i mix in with what alcoholic drinks so that the colder drink helps chill the room temp drink, yknow?",,,,,,
why do people drink alcohol or smoke?,,,,,,,
is it true opening apple juice and letting it sit will make alcohol?,,,,,,,
can i drink alcohol while taking zoloft?,,,,,,,
if i took a pain pill how long do i wait to drink alcohol?,,,,,,,
"what are the best comedy movies that are not about sex, alcohol, adults acting immature, or any of this:?",,,,,,,
got a concussion 10 days ago. today is 2nd day that i feel great. when is it okay to consume alcohol again?,when is it okay to consume alcohol again?,,,,,,
"do you ever drink alcohol alone, at home?",,,,,,,
tv shows about alcohol beverages?,,,,,,,
which is worse alcohol or videogames?,,,,,,,
benadryl and alcohol?,"i took 5-6 shots of uv blue about 20 minutes ago, what will happen if i take 7 benadryl?",,,,,,
can they serve a 19 year old alcohol if the are in the marines?,,,,,,,
on a cruise when buying alcohol?,do you have to show your id every time or do you get something to show youre of age?,,,,,,
how long after taking tylenol should i wait before drinking alcohol?,will it be ok if i have a few drinks (maybe 3-4 shots) in about 2 hours (so about 4-5 hours after taking tylenol)?,,,,,,
overdose on tylenol extra strength 500 mg and alcohol?,,,,,,,
do decades of too much alcohol give you a permanent puffy face?,,,,,,,
"if i only have one kidney, can i still drink alcohol?",,,,,,,
why do / dont you drink alcohol .?,,,,,,,
how to get him to stop alcoholism?,,did i make the right choice?,,,,,
is getting drunk once a week an alcoholic?,,,,,,,
how to have alcohol without getting caught?,,,,,,,
i drink tonight about 4 smirnoff ices then my friend bought out a cat she didnt know i was allergic to cats now my throat is like hurting and im stuffed up what can i do or take?,,,,,,,
"dubai related question: if you are an arab person who drinks alcohol, can you get arrested for it?","if you are an arab person who drinks alcohol, can you get arrested for it? ",,,,,,
how to get alcohol tips?,,,,,,,
